resName1
"transcription,2
2002-03-28,1
ACTIN-BINDING,1
ADP,3
ALLERGEN,3
AMINOPEPTIDASE,1
ANGIOGENESIS,1
ANTIBIOTIC,2
ANTIBIOTIC,1
ANTIBIOTIC,1
ANTIFREEZE,2
ANTIMICROBIAL,3
ANTITUMOR,3
ANTIVIRAL,10
APOPTOSIS,32
APOPTOSIS,1
APOPTOSIS,2
APOPTOSIS/APOPTOSIS,1
ARGININE-BINDING,2
ATP,2
ATP-binding,1
Apoptosis,1
Apoptosis/Inhibitor,1
BINDING,1
BIOSYNTHETIC,26
BLOOD,6
CALCIUM,3
CALCIUM,1
CALCIUM-BINDING,6
CARBOHYDRATE,1
CARBOHYDRATE-BINDING,3
CELL,88
CELL,1
CELL,1
CELL,29
CELL,1
CELL,1
CELL,3
CHAPERONE,47
CHAPERONE/PROTEIN,2
CHEMOTAXIS,1
CHITIN-BINDING,2
CHLOROPLASTIC,4
CHOLINE-BINDING,2
COMPLEX,1
COMPLEX,1
COMPLEX,1
COMPLEX,1
COMPLEX,2
CONTRACTILE,1
CONTRACTILE,4
COPPER-BINDING,2
CYTOKINE,6
CYTOKINE/CYTOKINE,1
CYTOSOLIC,1
Carbohydrate-binding,1
Cell,1
DE,1
DIOXYGENASE,1
DNA,122
DNA,1
DNA,1
DNA,1
DNA-BINDING,2
DNA-BINDING,1
ELECTRON,2
ELECTRON,2
ELECTRON,63
ELECTRON,1
ELECTRON,2
ENDOCYTOSIS,5
ENDOCYTOSIS/EXOCYTOSIS,5
ENDONUCLEASE,3
EXOCYTOSIS,2
Exchange,1
FLAVOPROTEIN,3
FLUORESCENT,3
GENE,51
GENE,1
GLUTAMINE,1
GROWTH,2
HEME-BINDING,2
HORMONE,4
HORMONE,1
HYDROGENASE,1
HYDROLASE,410
HYDROLASE,1
HYDROLASE,1
HYDROLASE,1
HYDROLASE,1
HYDROLASE(ACTING,1
HYDROLASE(C-TERMINAL,1
HYDROLASE(ENDORIBONUCLEASE),1
HYDROLASE(PHOSPHORIC,1
HYDROLASE(PHOSPHORIC,1
HYDROLASE/HYDROLASE,9
HYDROLASE/IMMUNE,2
HYDROLASE/INHIBITOR,4
HYDROLASE/PROTEIN,1
HYDROLASE/TRANSFERASE,1
Heme,6
Hydrolase/Hydrolase,2
Hydrolase/Isomerase/Calcium,1
IMMUNE,79
IMMUNOGLOBULIN,1
INHIBITOR,2
IRON,1
IRON,1
IRON,2
IRON-SULFUR-BINDING,1
ISOMERASE,71
ISOMERASE(INTRAMOLECULAR,2
ISOPRENOID,1
KETOLISOMERASE,2
KINASE,1
LEISHMANOLYSIN,1
LIGAND,6
LIGASE,69
LIGASE/ANTIBIOTIC,2
LIM,1
LIPID,7
LIPID,1
LIPOPROTEIN,4
LUMINESCENT,3
LYASE,109
LYASE,1
LYASE/ANTIBIOTIC,3
LYASE/INHIBITOR,2
LYASE/LYASE,1
LYASE/LYASE,1
LYASE/OXIDOREDUCTASE,1
Lyase/OXIDOREDUCTASE,1
MEMBRANE,61
MEMBRANE,1
MEMBRANE,1
MEMBRANE,1
METAL,1
METAL,323
METAL,1
METAL,50
METAL,1
METAL-BINDING,3
METALLOCARBOXYPEPTIDASE,2
METALLOPROTEASE,2
METALLOTHIONEIN,1
MOTILITY,1
MOTOR,6
MUSCLE,2
Membrane,1
Metal-binding,1
NUCLEAR,23
NUCLEAR,3
NUCLEAR,3
NUCLEIC,1
NUCLEOCAPSID,2
NUCLEOTIDYLTRANSFERASE,2
ODORANT,1
ONCOPROTEIN,8
OXIDASE,2
OXIDOREDUCTASE,283
OXIDOREDUCTASE,2
OXIDOREDUCTASE(OXYGEN,1
OXIDOREDUCTASE/INHIBITOR,1
OXIDOREDUCTASE/OXIDOREDUCTASE,5
OXYGEN,1
OXYGEN,1
OXYGEN,3
OXYGEN,2
OXYGEN,7
PDB,1
PEPTIDE,24
PEPTIDE,2
PEPTIDE,1
PEPTIDOGLYCAN,2
PERIPLASMIC,2
PHOSPHODIESTERASE,1
PHOSPHORIBOSYLTRANSFERASE,1
PHOSPHOTRANSFERASE,1
PHOSPHOTRIESTERASE,1
PHOTOSYNTHESIS,11
PHOTOSYSTEM,2
PLANT,12
PLASIMIN,2
POLYSACCHARIDE-BINDING,1
PROTEIN,90
PROTEIN,1
PROTEIN,2
PROTEIN,1
PROTEIN,1
PROTEIN,2
PROTEIN,2
PROTEIN,1
PROTEIN,44
PROTEIN,1
PROTEIN,1
RECEPTOR,2
RECOMBINATION,8
REPLICATION,13
REPRESSOR,1
RIBOSOMAL,2
RIBOSOME,3
RNA,1
RNA,54
Recombination/DNA,1
SERINE,1
SIGNALING,129
SIGNALING,1
SIGNALING,1
SIGNALING,1
SIGNALING,1
SIGNALING,2
SIGNALLING,2
SPLICING,10
STRUCTURAL,3
STRUCTURAL,42
SUGAR,66
SUGAR,2
SURFACE,2
Signaling,1
Structural,1
TERNARY,1
TOXIN,44
TOXIN/ANTITOXIN,1
TOXIN/CELL,1
TOXIN/IMMUNE,1
TOXOFLAVIN,1
TRANSCRIPTION,288
TRANSCRIPTION,2
TRANSCRIPTION,1
TRANSCRIPTION,1
TRANSCRIPTION,1
TRANSCRIPTION,10
TRANSCRIPTION,12
TRANSCRIPTION,1
TRANSCRIPTION/METAL,2
TRANSCRIPTION/PROTEIN,1
TRANSCRIPTION/Protein,1
TRANSCRIPTION/TRANSCRIPTION,3
TRANSCRIPTIONAL,1
TRANSFERASE,191
TRANSFERASE,1
TRANSFERASE,1
TRANSFERASE/ANTIBIOTIC,1
TRANSFERASE/INHIBITOR,2
TRANSFERASE/PEPTIDE,1
TRANSFERASE/TRANSFERASE,11
TRANSFERASE/TRANSFERASE,1
TRANSFERASE/TRANSFERASE,6
TRANSLATION,24
TRANSLATION,2
TRANSLATION/HYDROLASE,1
TRANSLATION/OXIDOREDUCTASE,1
TRANSLATION/REGULATION,1
TRANSPORT,4
TRANSPORT,174
Transcription,3
Transcription,1
Transcription,4
Transcription/MEMBRANE,1
Transferase/Transferase,1
Transferase/transferase,2
UNKNOWN,69
VIRAL,84
VIRAL,1
VIRUS,3
VIRUS,3
Viral,1
ZINC,3
ZINC-BINDING,4
ZN,1
acyl-CoA,1
hormone/growth,1
hydrolase/hydrolase,3
iron,6
ligase/ligase,1
mucin-binding,3
oxidoreductase/inhibitor,1
signaling,1
signaling,2
transcription,3
viral,1
Uniprot Acc
,310
1.1.1.-,1
1.13.11.13",2
1.14.11.-",1
1.17.3.-",2
1.17.3.2",3
2.4.1.133",1
2.5.1.1",1
2.5.1.10",2
2.7.10.2",1
2.7.11.1",2
2.7.11.23",3
3.1.1.3",5
3.1.3.2",1
3.1.3.94",1
3.1.7.8",2
3.4.-.-",1
3.4.11.10",2
3.4.15.1",2
3.4.17.-",1
4.1.3.30",3
4.2.3.75,1
4.2.99.18",1
4.3.2.5",2
5.5.1.1",1
6.1.1.6",1
CPB33A",1
Calcitonin,1
Insulin,4
Peregrin",5
and,2
chorismate,1
class,1
conserved,1
conserved,3
extradiol,1
putative,1
putative",1
slow,2
variant,1
"1.14.11.-,3
"2.4.1.-,1
"2.4.1.151,2
"2.4.1.22,1
"2.5.1.15,1
"2.7.11.1,3
"3.1.3.11,3
"A8WFV1,1
"P00451,2
"P01660,1
"P03069,1
"P05106,1
"P19492,1
"P61969,2
